hits numOfKeys keyDensity
9 10 5
8 10 25
6 10 45
4 10 65
3 10 85
3 10 105
3 10 125
2 10 145
2 10 165
2 10 185
1 10 205
1 10 225
1 10 245
1 10 265
1 10 285
1 10 305
0 10 325
0 10 345
1 10 365
1 10 385
1 10 405
1 10 425
1 10 445
0 10 465
0 10 485
29 30 5
23 30 25
18 30 45
15 30 65
13 30 85
10 30 105
8 30 125
8 30 145
7 30 165
5 30 185
6 30 205
5 30 225
5 30 245
5 30 265
4 30 285
5 30 305
3 30 325
3 30 345
3 30 365
3 30 385
3 30 405
3 30 425
2 30 445
3 30 465
2 30 485
48 50 5
38 50 25
30 50 45
24 50 65
21 50 85
17 50 105
16 50 125
14 50 145
12 50 165
11 50 185
10 50 205
9 50 225
7 50 245
9 50 265
7 50 285
8 50 305
7 50 325
6 50 345
6 50 365
6 50 385
6 50 405
5 50 425
4 50 445
4 50 465
4 50 485
67 70 5
53 70 25
42 70 45
34 70 65
27 70 85
24 70 105
21 70 125
19 70 145
16 70 165
14 70 185
14 70 205
13 70 225
11 70 245
11 70 265
10 70 285
9 70 305
10 70 325
10 70 345
9 70 365
8 70 385
8 70 405
7 70 425
6 70 445
7 70 465
6 70 485
86 90 5
68 90 25
53 90 45
43 90 65
37 90 85
32 90 105
29 90 125
24 90 145
21 90 165
20 90 185
18 90 205
15 90 225
15 90 245
14 90 265
14 90 285
13 90 305
13 90 325
11 90 345
12 90 365
10 90 385
10 90 405
10 90 425
10 90 445
7 90 465
8 90 485
105 110 5
83 110 25
67 110 45
53 110 65
46 110 85
37 110 105
33 110 125
30 110 145
26 110 165
25 110 185
22 110 205
22 110 225
20 110 245
18 110 265
15 110 285
16 110 305
15 110 325
14 110 345
15 110 365
12 110 385
14 110 405
11 110 425
11 110 445
10 110 465
9 110 485
124 130 5
98 130 25
77 130 45
63 130 65
54 130 85
44 130 105
42 130 125
34 130 145
33 130 165
28 130 185
26 130 205
22 130 225
22 130 245
20 130 265
22 130 285
19 130 305
17 130 325
15 130 345
17 130 365
14 130 385
15 130 405
13 130 425
12 130 445
13 130 465
14 130 485
143 150 5
113 150 25
91 150 45
74 150 65
63 150 85
51 150 105
44 150 125
39 150 145
35 150 165
36 150 185
29 150 205
31 150 225
28 150 245
25 150 265
22 150 285
22 150 305
20 150 325
17 150 345
19 150 365
15 150 385
17 150 405
14 150 425
14 150 445
15 150 465
17 150 485
162 170 5
128 170 25
102 170 45
82 170 65
69 170 85
59 170 105
51 170 125
47 170 145
43 170 165
38 170 185
35 170 205
29 170 225
33 170 245
27 170 265
29 170 285
24 170 305
23 170 325
23 170 345
20 170 365
19 170 385
21 170 405
19 170 425
16 170 445
16 170 465
16 170 485
181 190 5
144 190 25
115 190 45
92 190 65
77 190 85
67 190 105
58 190 125
51 190 145
46 190 165
39 190 185
40 190 205
36 190 225
34 190 245
29 190 265
29 190 285
26 190 305
27 190 325
26 190 345
23 190 365
22 190 385
19 190 405
21 190 425
19 190 445
17 190 465
20 190 485
200 210 5
159 210 25
124 210 45
101 210 65
85 210 85
75 210 105
64 210 125
56 210 145
52 210 165
48 210 185
42 210 205
43 210 225
36 210 245
33 210 265
34 210 285
30 210 305
27 210 325
26 210 345
24 210 365
28 210 385
24 210 405
24 210 425
20 210 445
24 210 465
18 210 485
219 230 5
173 230 25
137 230 45
113 230 65
97 230 85
81 230 105
70 230 125
61 230 145
55 230 165
52 230 185
49 230 205
46 230 225
41 230 245
40 230 265
38 230 285
38 230 305
31 230 325
29 230 345
28 230 365
27 230 385
26 230 405
23 230 425
