hits numOfKeys keyDensity
48 50 5
38 50 25
27 50 45
18 50 65
14 50 85
14 50 105
10 50 125
8 50 145
8 50 165
6 50 185
5 50 205
6 50 225
5 50 245
4 50 265
4 50 285
5 50 305
4 50 325
3 50 345
3 50 365
3 50 385
3 50 405
3 50 425
3 50 445
2 50 465
2 50 485
67 70 5
53 70 25
37 70 45
25 70 65
20 70 85
16 70 105
14 70 125
12 70 145
10 70 165
10 70 185
8 70 205
8 70 225
6 70 245
5 70 265
6 70 285
6 70 305
5 70 325
5 70 345
4 70 365
4 70 385
4 70 405
5 70 425
5 70 445
3 70 465
2 70 485
86 90 5
68 90 25
47 90 45
32 90 65
25 90 85
22 90 105
18 90 125
14 90 145
12 90 165
11 90 185
12 90 205
10 90 225
10 90 245
7 90 265
9 90 285
6 90 305
7 90 325
5 90 345
6 90 365
5 90 385
5 90 405
4 90 425
4 90 445
4 90 465
5 90 485
105 110 5
83 110 25
58 110 45
41 110 65
32 110 85
24 110 105
22 110 125
18 110 145
15 110 165
14 110 185
13 110 205
14 110 225
12 110 245
12 110 265
8 110 285
10 110 305
8 110 325
7 110 345
8 110 365
7 110 385
7 110 405
6 110 425
7 110 445
5 110 465
6 110 485
124 130 5
98 130 25
67 130 45
50 130 65
37 130 85
30 130 105
28 130 125
22 130 145
19 130 165
19 130 185
16 130 205
12 130 225
14 130 245
13 130 265
12 130 285
10 130 305
9 130 325
8 130 345
9 130 365
9 130 385
8 130 405
8 130 425
8 130 445
7 130 465
7 130 485
143 150 5
114 150 25
82 150 45
55 150 65
43 150 85
35 150 105
27 150 125
26 150 145
21 150 165
21 150 185
17 150 205
17 150 225
15 150 245
13 150 265
13 150 285
13 150 305
11 150 325
9 150 345
10 150 365
9 150 385
10 150 405
7 150 425
7 150 445
9 150 465
8 150 485
162 170 5
129 170 25
89 170 45
63 170 65
47 170 85
40 170 105
36 170 125
29 170 145
25 170 165
25 170 185
20 170 205
18 170 225
17 170 245
16 170 265
14 170 285
16 170 305
11 170 325
12 170 345
10 170 365
13 170 385
9 170 405
10 170 425
10 170 445
9 170 465
7 170 485
181 190 5
144 190 25
102 190 45
69 190 65
53 190 85
45 190 105
35 190 125
35 190 145
31 190 165
25 190 185
23 190 205
21 190 225
20 190 245
16 190 265
18 190 285
16 190 305
17 190 325
13 190 345
13 190 365
10 190 385
13 190 405
12 190 425
11 190 445
9 190 465
10 190 485
200 210 5
158 210 25
108 210 45
77 210 65
61 210 85
53 210 105
44 210 125
36 210 145
30 210 165
28 210 185
28 210 205
23 210 225
20 210 245
20 210 265
17 210 285
19 210 305
16 210 325
15 210 345
13 210 365
12 210 385
13 210 405
13 210 425
11 210 445
12 210 465
13 210 485
219 230 5
174 230 25
122 230 45
85 230 65
71 230 85
56 230 105
47 230 125
38 230 145
33 230 165
31 230 185
29 230 205
26 230 225
25 230 245
22 230 265
22 230 285
20 230 305
16 230 325
16 230 345
13 230 365
15 230 385
15 230 405
14 230 425
13 230 445
13 230 465
12 230 485
238 250 5
189 250 25
127 250 45
95 250 65
72 250 85
61 250 105
51 250 125
41 250 145
40 250 165
33 250 185
29 250 205
29 250 225
26 250 245
23 250 265
23 250 285
24 250 305
19 250 325
18 250 345
18 250 365
16 250 385
15 250 405
15 250 425
15 250 445
13 250 465
13 250 485
257 270 5
204 270 25
142 270 45
104 270 65
79 270 85
65 270 105
52 270 125
45 270 145
45 270 165
35 270 185
33 270 205
32 270 225
31 270 245
22 270 265
21 270 285
22 270 305
21 270 325
19 270 345
17 270 365
17 270 385
13 270 405
16 270 425
15 270 445
15 270 465
13 270 485
276 290 5
219 290 25
154 290 45
107 290 65
85 290 85
69 290 105
57 290 125
49 290 145
44 290 165
40 290 185
35 290 205
32 290 225
31 290 245
27 290 265
23 290 285
24 290 305
25 290 325
20 290 345
21 290 365
17 290 385
18 290 405
16 290 425
16 290 445
15 290 465
13 290 485
295 310 5
234 310 25
163 310 45
118 310 65
94 310 85
74 310 105
62 310 125
50 310 145
47 310 165
41 310 185
34 310 205
36 310 225
31 310 245
29 310 265
29 310 285
24 310 305
25 310 325
24 310 345
24 310 365
18 310 385
19 310 405
18 310 425
17 310 445
17 310 465
17 310 485
314 330 5
249 330 25
171 330 45
124 330 65
100 330 85
77 330 105
71 330 125
58 330 145
50 330 165
44 330 185
39 330 205
33 330 225
33 330 245
31 330 265
29 330 285
26 330 305
26 330 325
24 330 345
23 330 365
21 330 385
19 330 405
17 330 425
17 330 445
16 330 465
19 330 485
333 350 5
264 350 25
188 350 45
129 350 65
107 350 85
81 350 105
70 350 125
58 350 145
60 350 165
46 350 185
46 350 205
38 350 225
35 350 245
33 350 265
30 350 285
26 350 305
25 350 325
26 350 345
26 350 365
23 350 385
23 350 405
19 350 425
19 350 445
20 350 465
16 350 485
352 370 5
279 370 25
193 370 45
140 370 65
110 370 85
88 370 105
75 370 125
62 370 145
55 370 165
48 370 185
44 370 205
39 370 225
35 370 245
34 370 265
31 370 285
29 370 305
28 370 325
30 370 345
26 370 365
25 370 385
23 370 405
21 370 425
21 370 445
21 370 465
22 370 485
371 390 5
294 390 25
203 390 45
147 390 65
109 390 85
92 390 105
75 390 125
66 390 145
59 390 165
54 390 185
51 390 205
45 390 225
39 390 245
34 390 265
39 390 285
33 390 305
31 390 325
27 390 345
27 390 365
