misses numOfKeys keyDensity
1 10 5
2 10 25
4 10 45
5 10 65
7 10 85
8 10 105
7 10 125
8 10 145
8 10 165
8 10 185
9 10 205
8 10 225
9 10 245
9 10 265
9 10 285
9 10 305
9 10 325
9 10 345
9 10 365
9 10 385
9 10 405
8 10 425
9 10 445
9 10 465
9 10 485
1 30 5
7 30 25
12 30 45
18 30 65
19 30 85
23 30 105
23 30 125
24 30 145
25 30 165
26 30 185
27 30 205
26 30 225
27 30 245
27 30 265
28 30 285
27 30 305
27 30 325
27 30 345
28 30 365
27 30 385
28 30 405
27 30 425
28 30 445
28 30 465
28 30 485
2 50 5
11 50 25
24 50 45
31 50 65
36 50 85
39 50 105
40 50 125
40 50 145
42 50 165
43 50 185
45 50 205
44 50 225
44 50 245
44 50 265
44 50 285
46 50 305
46 50 325
46 50 345
46 50 365
47 50 385
46 50 405
46 50 425
46 50 445
48 50 465
47 50 485
3 70 5
16 70 25
33 70 45
44 70 65
49 70 85
51 70 105
54 70 125
58 70 145
57 70 165
61 70 185
63 70 205
62 70 225
62 70 245
62 70 265
63 70 285
63 70 305
64 70 325
65 70 345
64 70 365
64 70 385
64 70 405
65 70 425
66 70 445
66 70 465
67 70 485
4 90 5
21 90 25
41 90 45
53 90 65
63 90 85
67 90 105
71 90 125
73 90 145
75 90 165
77 90 185
79 90 205
79 90 225
80 90 245
82 90 265
80 90 285
82 90 305
81 90 325
83 90 345
84 90 365
84 90 385
84 90 405
85 90 425
85 90 445
84 90 465
85 90 485
5 110 5
26 110 25
50 110 45
65 110 65
74 110 85
84 110 105
88 110 125
90 110 145
91 110 165
93 110 185
97 110 205
98 110 225
98 110 245
99 110 265
100 110 285
100 110 305
100 110 325
102 110 345
103 110 365
101 110 385
104 110 405
103 110 425
103 110 445
104 110 465
105 110 485
6 130 5
31 130 25
59 130 45
83 130 65
91 130 85
102 130 105
104 130 125
106 130 145
110 130 165
113 130 185
113 130 205
114 130 225
117 130 245
119 130 265
118 130 285
119 130 305
118 130 325
120 130 345
122 130 365
122 130 385
121 130 405
123 130 425
121 130 445
123 130 465
123 130 485
7 150 5
36 150 25
70 150 45
93 150 65
105 150 85
114 150 105
115 150 125
125 150 145
127 150 165
130 150 185
131 150 205
134 150 225
135 150 245
135 150 265
137 150 285
137 150 305
139 150 325
140 150 345
138 150 365
139 150 385
143 150 405
138 150 425
140 150 445
144 150 465
141 150 485
8 170 5
41 170 25
77 170 45
105 170 65
119 170 85
127 170 105
135 170 125
141 170 145
143 170 165
147 170 185
150 170 205
149 170 225
151 170 245
154 170 265
154 170 285
155 170 305
155 170 325
159 170 345
158 170 365
158 170 385
159 170 405
158 170 425
161 170 445
161 170 465
161 170 485
9 190 5
45 190 25
87 190 45
119 190 65
134 190 85
144 190 105
151 190 125
158 190 145
159 190 165
164 190 185
168 190 205
168 190 225
170 190 245
172 190 265
173 190 285
176 190 305
174 190 325
175 190 345
175 190 365
177 190 385
179 190 405
180 190 425
177 190 445
181 190 465
180 190 485
10 210 5
51 210 25
95 210 45
131 210 65
148 210 85
160 210 105
167 210 125
172 210 145
177 210 165
183 210 185
182 210 205
186 210 225
186 210 245
190 210 265
191 210 285
191 210 305
196 210 325
194 210 345
196 210 365
196 210 385
197 210 405
196 210 425
196 210 445
198 210 465
197 210 485
11 230 5
55 230 25
105 230 45
139 230 65
164 230 85
174 230 105
178 230 125
191 230 145
195 230 165
200 230 185
200 230 205
204 230 225
204 230 245
207 230 265
209 230 285
211 230 305
211 230 325
212 230 345
213 230 365
213 230 385
215 230 405
217 230 425
218 230 445
217 230 465
218 230 485
12 250 5
61 250 25
112 250 45
151 250 65
171 250 85
192 250 105
198 250 125
208 250 145
211 250 165
214 250 185
218 250 205
222 250 225
224 250 245
227 250 265
226 250 285
228 250 305
229 250 325
231 250 345
232 250 365
233 250 385
231 250 405
235 250 425
235 250 445
236 250 465
239 250 485
13 270 5
65 270 25
127 270 45
166 270 65
189 270 85
205 270 105
215 270 125
223 270 145
232 270 165
236 270 185
233 270 205
244 270 225
241 270 245
243 270 265
244 270 285
248 270 305
247 270 325
252 270 345
249 270 365
253 270 385
250 270 405
253 270 425
253 270 445
253 270 465
256 270 485
14 290 5
70 290 25
136 290 45
178 290 65
208 290 85
216 290 105
229 290 125
242 290 145
242 290 165
253 290 185
253 290 205
255 290 225
260 290 245
261 290 265
266 290 285
264 290 305
267 290 325
269 290 345
270 290 365
268 290 385
271 290 405
273 290 425
273 290 445
273 290 465
274 290 485
15 310 5
75 310 25
143 310 45
195 310 65
214 310 85
238 310 105
251 310 125
253 310 145
264 310 165
269 310 185
269 310 205
276 310 225
278 310 245
282 310 265
283 310 285
284 310 305
287 310 325
289 310 345
288 310 365
288 310 385
290 310 405
293 310 425
290 310 445
291 310 465
293 310 485
16 330 5
80 330 25
155 330 45
205 330 65
234 330 85
257 330 105
261 330 125
269 330 145
279 330 165
283 330 185
290 330 205
290 330 225
297 330 245
299 330 265
301 330 285
300 330 305
306 330 325
305 330 345
305 330 365
308 330 385
307 330 405
309 330 425
308 330 445
312 330 465
313 330 485
17 350 5
85 350 25
159 350 45
217 350 65
248 350 85
264 350 105
278 350 125
287 350 145
295 350 165
302 350 185
303 350 205
309 350 225
312 350 245
313 350 265
319 350 285
320 350 305
324 350 325
324 350 345
323 350 365
330 350 385
328 350 405
330 350 425
329 350 445
333 350 465
329 350 485
18 370 5
